Eviction_ID,Address,City,State,Zip_Code,File Date,Neighborhood,Lat_long
M142680,2300 Block of Leavenworth  Street,San Francisco,CA,94133,12/10/2014,Russian Hill,"(37.8026768740904, -122.417990274048)"
M142645,2300 Block of Leavenworth  Street,San Francisco,CA,94133,12/03/2014,Russian Hill,"(37.8026768740904, -122.417990274048)"
M142391,2900 Block of Washington  Street,San Francisco,CA,94115,10/27/2014,Pacific Heights,"(37.7907016714932, -122.441830501821)"
M142192,0 Block of Fresno  Street,San Francisco,CA,94133,10/01/2014,North Beach,"(37.7985842351193, -122.405969513759)"
M141648,1300 Block of Hayes  Street,San Francisco,CA,94117,07/22/2014,Hayes Valley,"(37.7749393190328, -122.438643513001)"
M141182,100 Block of Highland  Avenue,San Francisco,CA,94110,05/27/2014,Bernal Heights,"(37.7374368854489, -122.423574016781)"
M141183,0 Block of Patton  Street,San Francisco,CA,94110,05/27/2014,Bernal Heights,"(37.7379014697024, -122.423138550271)"
M140966,200 Block of Ivy  Street,San Francisco,CA,94102,05/07/2014,Hayes Valley,"(37.7775087886282, -122.422260661765)"
M140857,2900 Block of Pine  Street,San Francisco,CA,94115,04/18/2014,Presidio Heights,"(37.786640145597, -122.444395104285)"
M140352,3800 Block of 18th  Street,San Francisco,CA,94114,02/19/2014,Castro/Upper Market,"(37.7611677619009, -122.42945856848)"
M132486,1200 Block of Arguello  Boulevard,San Francisco,CA,94122,12/16/2013,Inner Sunset,"(37.7656812762801, -122.45784824333)"
M132259,100 Block of Chattanooga  Street,San Francisco,CA,94114,11/04/2013,Noe Valley,"(37.7541651476142, -122.426486956958)"
M132102,1200 Block of Rhode Island,San Francisco,CA,94107,10/17/2013,Potrero Hill,"(37.7539362159724, -122.401459657333)"
M131948,1200 Block of Arguello  Boulevard,San Francisco,CA,94122,10/03/2013,Inner Sunset,"(37.7656812762801, -122.45784824333)"
M131951,1200 Block of Arguello  Boulevard,San Francisco,CA,94122,10/03/2013,Inner Sunset,"(37.7656812762801, -122.45784824333)"
M131947,1200 Block of Arguello  Boulevard,San Francisco,CA,94122,10/03/2013,Inner Sunset,"(37.7656812762801, -122.45784824333)"
M131914,2000 Block of Greenwich  Street,San Francisco,CA,94123,09/30/2013,Marina,"(37.7992109754665, -122.433391615361)"
M131579,1700 Block of Fulton  Street,San Francisco,CA,94117,08/12/2013,Lone Mountain/USF,"(37.7759633290817, -122.445636305805)"
M131188,2000 Block of Castro  Street,San Francisco,CA,94131,06/20/2013,Noe Valley,"(37.7454536883505, -122.433452763581)"
M131116,2800 Block of Lyon  Street,San Francisco,CA,94123,06/14/2013,Marina,"(37.7970533891447, -122.447017802272)"
M131085,3400 Block of 16th  Street,San Francisco,CA,94114,06/10/2013,Castro/Upper Market,"(37.7645393170804, -122.429051748724)"
M130565,3600 Block of 24th  Street,San Francisco,CA,94110,04/02/2013,Mission,"(37.7519502041489, -122.424259280185)"
M122219,200 Block of Prospect  Avenue,San Francisco,CA,94110,11/28/2012,Bernal Heights,"(37.7421010706326, -122.41971223581)"
M121607,1500 Block of Mason  Street,San Francisco,CA,94133,08/27/2012,Chinatown,"(37.7976573707266, -122.411923657548)"
M121605,1500 Block of Mason  Street,San Francisco,CA,94133,08/27/2012,Chinatown,"(37.7976573707266, -122.411923657548)"
M121606,1500 Block of Mason  Street,San Francisco,CA,94133,08/27/2012,Chinatown,"(37.7976573707266, -122.411923657548)"
