Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
0 Block of Majestic  Avenue,San Francisco,CA,94112,03/27/2015,Oceanview/Merced/Ingleside,"(37.717699332258, -122.451373572602)"
0 Block of Majestic  Avenue,San Francisco,CA,94112,03/27/2015,Oceanview/Merced/Ingleside,"(37.717699332258, -122.451373572602)"
100 Block of 11th  Avenue,San Francisco,CA,94118,03/25/2015,Inner Richmond,"(37.7855017911204, -122.470044893673)"
100 Block of 11th  Avenue,San Francisco,CA,94118,03/25/2015,Inner Richmond,"(37.7855017911204, -122.470044893673)"
300 Block of Lexington  Street,San Francisco,CA,94110,03/24/2015,Mission,"(37.75775140355, -122.420353645248)"
2800 Block of Santiago  Street,San Francisco,CA,94116,03/23/2015,Sunset/Parkside,"(37.743895515276, -122.497780486237)"
0 Block of Lyell  Street,San Francisco,CA,94112,03/20/2015,Outer Mission,"(37.7313118277372, -122.431604222343)"
0 Block of Lyell  Street,San Francisco,CA,94112,03/20/2015,Outer Mission,"(37.7313118277372, -122.431604222343)"
200 Block of 25th  Avenue,San Francisco,CA,94121,03/16/2015,Outer Richmond,"(37.7848109229237, -122.48514853004)"
200 Block of 25th  Avenue,San Francisco,CA,94121,03/16/2015,Outer Richmond,"(37.7848109229237, -122.48514853004)"
200 Block of 25th  Avenue,San Francisco,CA,94121,03/16/2015,Outer Richmond,"(37.7848109229237, -122.48514853004)"
200 Block of 25th  Avenue,San Francisco,CA,94121,03/16/2015,Outer Richmond,"(37.7848109229237, -122.48514853004)"
200 Block of 25th  Avenue,San Francisco,CA,94121,03/16/2015,Outer Richmond,"(37.7848109229237, -122.48514853004)"
200 Block of 25th  Avenue,San Francisco,CA,94121,03/16/2015,Outer Richmond,"(37.7848109229237, -122.48514853004)"
2400 Block of Folsom  Street,San Francisco,CA,94110,03/12/2015,Mission,"(37.758100859554, -122.414546754067)"
1800 Block of 33rd  Avenue,San Francisco,CA,94122,03/02/2015,Sunset/Parkside,"(37.7526417400488, -122.49147907663)"
200 Block of Ellsworth  Street,San Francisco,CA,94110,03/02/2015,Bernal Heights,"(37.7395905501268, -122.414538486898)"
500 Block of College  Avenue,San Francisco,CA,94112,02/27/2015,Bernal Heights,"(37.732562736668, -122.423657298727)"
200 Block of Pixley  Street,San Francisco,CA,94123,02/27/2015,Marina,"(37.7983281254623, -122.436585449116)"
900 Block of South Van Ness  Avenue,San Francisco,CA,94110,02/27/2015,Mission,"(37.7579612750489, -122.416865021922)"
900 Block of South Van Ness  Avenue,San Francisco,CA,94110,02/27/2015,Mission,"(37.7579612750489, -122.416865021922)"
3300 Block of Cesar Chavez  Street,San Francisco,CA,94110,02/26/2015,Bernal Heights,"(37.7480783043252, -122.41703818925)"
