Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
500 Block of 17th  Avenue,San Francisco,CA,94121,11/02/2000,Outer Richmond,"(37.777620201889, -122.476025856645)"
500 Block of 17th  Avenue,San Francisco,CA,94121,11/02/2000,Outer Richmond,"(37.777620201889, -122.476025856645)"
500 Block of 17th  Avenue,San Francisco,CA,94121,11/02/2000,Outer Richmond,"(37.777620201889, -122.476025856645)"
1500 Block of Willard  Street,San Francisco,CA,94117,11/01/2000,Inner Sunset,"(37.7622874744176, -122.453810288708)"
600 Block of Pennsylvania  Avenue,San Francisco,CA,94107,10/20/2000,Potrero Hill,"(37.758922223701, -122.393312667684)"
300 Block of Moultrie  Street,San Francisco,CA,94110,10/20/2000,Bernal Heights,"(37.739707832515, -122.415912715919)"
300 Block of Moultrie  Street,San Francisco,CA,94110,10/20/2000,Bernal Heights,"(37.739707832515, -122.415912715919)"
300 Block of Moultrie  Street,San Francisco,CA,94110,10/20/2000,Bernal Heights,"(37.739707832515, -122.415912715919)"
3000 Block of Washington  Street,San Francisco,CA,94115,10/17/2000,Pacific Heights,"(37.7903787789733, -122.443466217104)"
3000 Block of Washington  Street,San Francisco,CA,94115,10/17/2000,Pacific Heights,"(37.7903787789733, -122.443466217104)"
3000 Block of Washington  Street,San Francisco,CA,94115,10/17/2000,Pacific Heights,"(37.7903787789733, -122.443466217104)"
3000 Block of Washington  Street,San Francisco,CA,94115,10/17/2000,Pacific Heights,"(37.7903787789733, -122.443466217104)"
3000 Block of Washington  Street,San Francisco,CA,94115,10/17/2000,Pacific Heights,"(37.7903787789733, -122.443466217104)"
1600 Block of Noe  Street,San Francisco,CA,94110,09/29/2000,Noe Valley,"(37.743035049398, -122.430992370182)"
1600 Block of Noe  Street,San Francisco,CA,94110,09/29/2000,Noe Valley,"(37.743035049398, -122.430992370182)"
600 Block of Shotwell  Street,San Francisco,CA,94110,09/29/2000,Mission,"(37.7580354884862, -122.415633764587)"
1600 Block of Noe  Street,San Francisco,CA,94110,09/29/2000,Noe Valley,"(37.743035049398, -122.430992370182)"
1600 Block of Noe  Street,San Francisco,CA,94110,09/29/2000,Noe Valley,"(37.743035049398, -122.430992370182)"
1600 Block of Noe  Street,San Francisco,CA,94110,09/29/2000,Noe Valley,"(37.743035049398, -122.430992370182)"
1600 Block of Noe  Street,San Francisco,CA,94110,09/29/2000,Noe Valley,"(37.743035049398, -122.430992370182)"
200 Block of Connecticut  Street,San Francisco,CA,94107,09/26/2000,Potrero Hill,"(37.7631615707367, -122.397484851678)"
100 Block of 26th  Ave.,San Francisco,CA,94121,09/25/2000,Seacliff,"(37.7866268332722, -122.486350477517)"
300 Block of Willard North  Street,San Francisco,CA,94118,09/25/2000,Lone Mountain/USF,"(37.7750277509749, -122.456309855191)"
300 Block of Willard North  Street,San Francisco,CA,94118,09/25/2000,Lone Mountain/USF,"(37.7750277509749, -122.456309855191)"
0 Block of Waller  Street,San Francisco,CA,94102,09/21/2000,Hayes Valley,"(37.7718426818012, -122.424513454854)"
0 Block of Waller  Street,San Francisco,CA,94102,09/21/2000,Hayes Valley,"(37.7718426818012, -122.424513454854)"
1600 Block of Clement  Street,San Francisco,CA,94121,09/19/2000,Outer Richmond,"(37.7823284143698, -122.476836729401)"
1600 Block of Clement  Street,San Francisco,CA,94121,09/19/2000,Outer Richmond,"(37.7823284143698, -122.476836729401)"
1200 Block of 12TH  AVENUE,San Francisco,CA,94122,09/15/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
1200 Block of 12TH   AVENUE,San Francisco,CA,94122,09/15/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
1200 Block of 12TH  AVENUE,San Francisco,CA,94122,09/15/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
1200 Block of 12TH  AVENUE,San Francisco,CA,94122,09/15/2000,Inner Sunset,"(37.7648423519363, -122.469518821131)"
4100 Block of 20th  Street,San Francisco,CA,94114,09/08/2000,Castro/Upper Market,"(37.7577322522948, -122.433032371499)"
4100 Block of 20th  Street,San Francisco,CA,94114,09/08/2000,Castro/Upper Market,"(37.7577322522948, -122.433032371499)"
600 Block of 9th  Avenue,San Francisco,CA,94118,08/30/2000,Inner Richmond,"(37.7761584734754, -122.467084259779)"
2300 Block of Jackson  Street,San Francisco,CA,94115,08/30/2000,Pacific Heights,"(37.792521541647, -122.433726713886)"
600 Block of 9th  Avenue,San Francisco,CA,94118,08/30/2000,Inner Richmond,"(37.7761584734754, -122.467084259779)"
400 Block of 22nd  Avenue,San Francisco,CA,94107,08/30/2000,Outer Richmond,"(37.779265561928, -122.481517274444)"
2300 Block of Jackson  Street,San Francisco,CA,94115,08/30/2000,Pacific Heights,"(37.792521541647, -122.433726713886)"
600 Block of 9th  Avenue,San Francisco,CA,94118,08/30/2000,Inner Richmond,"(37.7761584734754, -122.467084259779)"
2300 Block of Jackson  Street,San Francisco,CA,94115,08/30/2000,Pacific Heights,"(37.792521541647, -122.433726713886)"
5800 Block of Geary  Boulevard,San Francisco,CA,94121,08/30/2000,Outer Richmond,"(37.7800879421468, -122.48205036897)"
600 Block of Bay  Street,San Francisco,CA,94133,08/29/2000,Russian Hill,"(37.8050301528239, -122.417867154107)"
2100 Block of Broderick  Street,San Francisco,CA,94115,08/28/2000,Pacific Heights,"(37.7901099422771, -122.442497052797)"
2100 Block of Broderick  Street,San Francisco,CA,94115,08/28/2000,Pacific Heights,"(37.7901099422771, -122.442497052797)"
1000 Block of Fell  Street,San Francisco,CA,94117,08/28/2000,Hayes Valley,"(37.7743219498944, -122.435106880888)"
100 Block of Beaumont  Avenue,San Francisco,CA,94118,08/22/2000,Lone Mountain/USF,"(37.7795186949358, -122.454767801104)"
100 Block of Beaumont  Avenue,San Francisco,CA,94118,08/22/2000,Lone Mountain/USF,"(37.7795186949358, -122.454767801104)"
100 Block of 28th  Street,San Francisco,CA,94131,08/14/2000,Noe Valley,"(37.7454218861672, -122.425685856236)"
100 Block of 28th  Street,San Francisco,CA,94131,08/14/2000,Noe Valley,"(37.7454218861672, -122.425685856236)"
1700 Block of 39th  Avenue,San Francisco,CA,94122,08/14/2000,Sunset/Parkside,"(37.7542269854957, -122.497897519854)"
1200 Block of Vicente  Street,San Francisco,CA,94116,08/14/2000,Sunset/Parkside,"(37.7391671217145, -122.480256362055)"
1200 Block of Vicente  Street,San Francisco,CA,94116,08/14/2000,Sunset/Parkside,"(37.7391671217145, -122.480256362055)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
1100 Block of Kearny  Street,San Francisco,CA,94133,08/11/2000,North Beach,"(37.7985353015404, -122.405486521242)"
