Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
500 Block of 14th  Street,San Francisco,CA,94103,01/28/1998,Mission,"(37.7678490974838, -122.426109414529)"
400 Block of Hayes  Street,San Francisco,CA,94102,01/28/1998,Hayes Valley,"(37.7768397729993, -122.423756911902)"
500 Block of 28th   Avenue,San Francisco,CA,94121,01/27/1998,Outer Richmond,"(37.7789805577678, -122.487944517149)"
2300 Block of Sacramento  Street,San Francisco,CA,94115,01/27/1998,Pacific Heights,"(37.7900938898599, -122.431549817572)"
4300 Block of 17th  Street,San Francisco,CA,94114,01/27/1998,Castro/Upper Market,"(37.7621598003811, -122.441543331354)"
500 Block of 4th  Avenue,San Francisco,CA,94118,01/27/1998,Inner Richmond,"(37.778256106421, -122.462004390893)"
2300 Block of Green  Street,San Francisco,CA,94123,01/26/1998,Pacific Heights,"(37.7957910521202, -122.437759641692)"
0 Block of Walter  Street,San Francisco,CA,94133,01/26/1998,Castro/Upper Market,"(37.7683932188284, -122.432312796958)"
1500 Block of Fell  Street,San Francisco,CA,94117,01/26/1998,Lone Mountain/USF,"(37.773372370084, -122.4434015734)"
3000 Block of 20th  Street,San Francisco,CA,94110,01/26/1998,Mission,"(37.7590542425377, -122.411163913391)"
3200 Block of Mission  Street,San Francisco,CA,94107,01/26/1998,Bernal Heights,"(37.7447384332418, -122.42051792069)"
1300 Block of 7th  Avenue,San Francisco,CA,94122,01/26/1998,Inner Sunset,"(37.7631968206213, -122.464176094113)"
200 Block of Prentiss  Street,San Francisco,CA,94110,01/22/1998,Bernal Heights,"(37.7399387163164, -122.412153967641)"
1800 Block of 48th  Avenue,San Francisco,CA,94122,01/22/1998,Sunset/Parkside,"(37.7519393943649, -122.507411931711)"
1800 Block of 48th  Avenue,San Francisco,CA,94122,01/22/1998,Sunset/Parkside,"(37.7519393943649, -122.507411931711)"
1100 Block of Persia  Street,San Francisco,CA,94112,01/22/1998,Excelsior,"(37.7187990555551, -122.426755854772)"
200 Block of Downey  Street,San Francisco,CA,94117,01/21/1998,Haight Ashbury,"(37.7654182578627, -122.446783639096)"
0 Block of Prosper  Street,San Francisco,CA,94114,01/21/1998,Castro/Upper Market,"(37.7635094245489, -122.431691552607)"
2100 Block of Hayes  Street,San Francisco,CA,94117,01/21/1998,Lone Mountain/USF,"(37.7731566538736, -122.451787869956)"
200 Block of Downey  Street,San Francisco,CA,94117,01/21/1998,Haight Ashbury,"(37.7654182578627, -122.446783639096)"
3000 Block of Polk  Street,San Francisco,CA,94109,01/21/1998,Russian Hill,"(37.8048296797849, -122.42349221697)"
1500 Block of Noe  Street,San Francisco,CA,94131,01/20/1998,Noe Valley,"(37.7438421823212, -122.431071091104)"
700 Block of Duboce  Avenue,San Francisco,CA,94117,01/20/1998,Castro/Upper Market,"(37.768974930969, -122.436184937552)"
300 Block of Day  Street,San Francisco,CA,94131,01/20/1998,Noe Valley,"(37.7426428181746, -122.429908735602)"
3700 Block of Scott  Street,San Francisco,CA,94123,01/20/1998,Marina,"(37.804244808672, -122.441934973769)"
1800 Block of 19th  Avenue,San Francisco,CA,94122,01/20/1998,Inner Sunset,"(37.7533162350322, -122.476225081706)"
1400 Block of Clement  Street,San Francisco,CA,94118,01/20/1998,Outer Richmond,"(37.7824283415653, -122.474669098534)"
400 Block of Burnett  Avenue,San Francisco,CA,94131,01/16/1998,Twin Peaks,"(37.7536245143419, -122.444230812208)"
0 Block of Whitney  Street,San Francisco,CA,94131,01/16/1998,Glen Park,"(37.740846132124, -122.427696841514)"
100 Block of Lundys  Lane,San Francisco,CA,94110,01/16/1998,Bernal Heights,"(37.7431600876044, -122.419420853862)"
500 Block of Masonic  Avenue,San Francisco,CA,94117,01/16/1998,Lone Mountain/USF,"(37.7762629536288, -122.446633703876)"
0 Block of Carson  Street,San Francisco,CA,94114,01/16/1998,Twin Peaks,"(37.7584939703322, -122.439535575488)"
300 Block of Collingwood  Street,San Francisco,CA,94114,01/16/1998,Castro/Upper Market,"(37.7570114081933, -122.435813107832)"
400 Block of 2nd  Avenue,San Francisco,CA,94118,01/16/1998,Inner Richmond,"(37.7802449130524, -122.459999104472)"
3700 Block of Scott  Street,San Francisco,CA,94123,01/15/1998,Marina,"(37.804244808672, -122.441934973769)"
1300 Block of Green  Street,San Francisco,CA,94109,01/15/1998,Russian Hill,"(37.7978749689343, -122.421313622423)"
1700 Block of Geneva  Avenue,San Francisco,CA,94134,01/15/1998,Excelsior,"(37.7118331287652, -122.427989010242)"
1300 Block of Green  Street,San Francisco,CA,94109,01/15/1998,Russian Hill,"(37.7978749689343, -122.421313622423)"
2200 Block of Jackson  Street,San Francisco,CA,94115,01/14/1998,Pacific Heights,"(37.7928385254495, -122.432101129469)"
100 Block of Day  Street,San Francisco,CA,94131,01/14/1998,Noe Valley,"(37.7429112830315, -122.425446541448)"
1400 Block of Union  Street,San Francisco,CA,94109,01/14/1998,Russian Hill,"(37.7986027833418, -122.423148601532)"
400 Block of 25th  Avenue,San Francisco,CA,94121,01/14/1998,Outer Richmond,"(37.781055840706, -122.484872346143)"
0 Block of Rockaway  Avenue,San Francisco,CA,94127,01/14/1998,West of Twin Peaks,"(37.7435700507971, -122.457886954217)"
100 Block of Red Rock   Way,San Francisco,CA,94131,01/14/1998,Noe Valley,"(37.7460366753227, -122.442196632259)"
1300 Block of Funston  Avenue,San Francisco,CA,94122,01/13/1998,Inner Sunset,"(37.7629209364651, -122.470460921271)"
1300 Block of Funston  Avenue,San Francisco,CA,94122,01/13/1998,Inner Sunset,"(37.7629209364651, -122.470460921271)"
4900 Block of 17th  Street,San Francisco,CA,94117,01/13/1998,Haight Ashbury,"(37.7615744434776, -122.451274100059)"
0 Block of Los Palmos  Drive,San Francisco,CA,94127,01/13/1998,West of Twin Peaks,"(37.7349122711158, -122.447517633025)"
500 Block of Chenery  Street,San Francisco,CA,94131,01/13/1998,Glen Park,"(37.7350939561188, -122.431073052252)"
700 Block of Central  Avenue,San Francisco,CA,94117,01/12/1998,Lone Mountain/USF,"(37.7764956732693, -122.444804893148)"
4200 Block of Ocean  Avenue,San Francisco,CA,94132,01/12/1998,Sunset/Parkside,"(37.7320482698392, -122.489318156693)"
200 Block of Virginia  Avenue,San Francisco,CA,94110,01/12/1998,Bernal Heights,"(37.7422500022222, -122.419171248176)"
600 Block of 4th  Avenue,San Francisco,CA,94118,01/09/1998,Inner Richmond,"(37.7763964512431, -122.46186991835)"
2100 Block of Bay   Street,San Francisco,CA,94123,01/09/1998,Marina,"(37.8018900895028, -122.442380293059)"
2800 Block of Baker  Street,San Francisco,CA,94123,01/09/1998,Marina,"(37.7974660101924, -122.445670312101)"
0 Block of Service  Street,San Francisco,CA,94123,01/09/1998,Marina,"(37.7991210149562, -122.438057853331)"
2800 Block of Baker  Street,San Francisco,CA,94123,01/09/1998,Marina,"(37.7974660101924, -122.445670312101)"
2800 Block of Baker  Street,San Francisco,CA,94123,01/09/1998,Marina,"(37.7974660101924, -122.445670312101)"
300 Block of Scott  Street,San Francisco,CA,94117,01/09/1998,Haight Ashbury,"(37.7728730902542, -122.435725725828)"
1100 Block of Florida  Street,San Francisco,CA,94110,01/09/1998,Mission,"(37.753535652312, -122.410212145376)"
200 Block of Oneida  Avenue,San Francisco,CA,94112,01/08/1998,Outer Mission,"(37.7219626219783, -122.442932610181)"
600 Block of 22nd  Avenue,San Francisco,CA,94121,01/08/1998,Outer Richmond,"(37.7755191925464, -122.481110764918)"
600 Block of 22nd  Avenue,San Francisco,CA,94121,01/08/1998,Outer Richmond,"(37.7755191925464, -122.481110764918)"
1600 Block of 35th  Avenue,San Francisco,CA,94122,01/07/1998,Sunset/Parkside,"(37.7562781465668, -122.493883185075)"
1300 Block of Fulton  Street,San Francisco,CA,94117,01/07/1998,Western Addition,"(37.776804186216, -122.439021582559)"
300 Block of Missouri   Street,San Francisco,CA,94107,01/05/1998,Potrero Hill,"(37.761944157468, -122.396396990369)"
0 Block of Theresa  Street,San Francisco,CA,94112,01/05/1998,Outer Mission,"(37.7282713185122, -122.433385191576)"
100 Block of Cora  Street,San Francisco,CA,94134,01/05/1998,Visitacion Valley,"(37.710915241019, -122.40925248718)"
0 Block of Ellsworth  Street,San Francisco,CA,94110,01/05/1998,Bernal Heights,"(37.7420081469577, -122.414478355746)"
100 Block of Fillmore  Street,San Francisco,CA,94117,01/05/1998,Hayes Valley,"(37.7709500966587, -122.43014576214)"
200 Block of Virginia  Avenue,San Francisco,CA,94110,01/05/1998,Bernal Heights,"(37.7422500022222, -122.419171248176)"
300 Block of 29th  Avenue,San Francisco,CA,94121,01/05/1998,Outer Richmond,"(37.7827537107447, -122.489292471528)"
1400 Block of Shrader  Street,San Francisco,CA,94117,01/05/1998,Haight Ashbury,"(37.7619427727507, -122.450726690616)"
2600 Block of 17th  Avenue,San Francisco,CA,94116,01/05/1998,West of Twin Peaks,"(37.7384814288942, -122.473295868907)"
400 Block of Colon  Ave.,San Francisco,CA,94127,01/02/1998,West of Twin Peaks,"(37.7330392062631, -122.457737968001)"
1200 Block of 47th  Avenue,San Francisco,CA,94122,01/02/1998,Sunset/Parkside,"(37.7631738406161, -122.507265410316)"
1200 Block of 47th  Avenue,San Francisco,CA,94122,01/02/1998,Sunset/Parkside,"(37.7631738406161, -122.507265410316)"
2600 Block of Great Highway,San Francisco,CA,94116,01/02/1998,Sunset/Parkside,"(37.7365648335491, -122.506185260555)"
1400 Block of California  St.,San Francisco,CA,94109,12/31/1997,Nob Hill,"(37.7909350070904, -122.41822349506)"
1400 Block of Pacific  Ave.,San Francisco,CA,94109,12/31/1997,Russian Hill,"(37.7953623667114, -122.419539667754)"
300 Block of Day  St.,San Francisco,CA,94131,12/31/1997,Noe Valley,"(37.7426428181746, -122.429908735602)"
1200 Block of Pine  St.,San Francisco,CA,94109,12/30/1997,Nob Hill,"(37.7902039576745, -122.416392889742)"
1100 Block of Kansas  St.,San Francisco,CA,94107,12/29/1997,Potrero Hill,"(37.7551570824469, -122.402550053155)"
0 Block of 29th  St.,San Francisco,CA,94121,12/29/1997,Bernal Heights,"(37.7439537433409, -122.421430546192)"
900 Block of Green  St.,San Francisco,CA,94133,12/29/1997,Russian Hill,"(37.7987975000694, -122.415083693773)"
1400 Block of Clay  St.,San Francisco,CA,94109,12/29/1997,Nob Hill,"(37.792854397271, -122.416925085992)"
600 Block of 22nd  Ave.,San Francisco,CA,94121,12/29/1997,Outer Richmond,"(37.7755191925464, -122.481110764918)"
800 Block of 36th  Ave.,San Francisco,CA,94121,12/29/1997,Outer Richmond,"(37.7729681395816, -122.495974617536)"
3900 Block of Noriega  St.,San Francisco,CA,94122,12/29/1997,Sunset/Parkside,"(37.7528855967634, -122.505937217054)"
2100 Block of Union  St.,San Francisco,CA,94123,12/29/1997,Marina,"(37.7972477505782, -122.434679240092)"
500 Block of Page  St.,San Francisco,CA,94117,12/26/1997,Hayes Valley,"(37.7731977868371, -122.429820521053)"
1100 Block of Treat  St.,San Francisco,CA,94110,12/26/1997,Mission,"(37.7517661794586, -122.412985835399)"
2600 Block of Great Highway,San Francisco,CA,94116,12/26/1997,Sunset/Parkside,"(37.7365648335491, -122.506185260555)"
